"ID","WBS","任务名称","任务类型","工期","开始时间","完成时间","前置任务","资源名称","主责资源","协作资源","供应商资源","责任部门","供应商","审核人/审批组","风险等级","里程碑","交付物","备注","原资源名称","资源池导入建议","评审意见"
"69","2.6.5","设备数据采集硬件/网关-评标/选型与商务谈判","招采","10工作日","2027-07-09","2027-07-22","68","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","信息化项目管理工作室","中","否","设备数据采集硬件/网关评标/选型与商务谈判","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"70","2.6.6","设备数据采集硬件/网关-合同审批与签订","合同","8工作日","2027-07-23","2027-08-03","69","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","项目决策组","中","否","设备数据采集硬件/网关合同审批与签订","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"71","2.6.7","设备数据采集硬件/网关-供应商进场准备","进场","10工作日","2027-08-04","2027-08-17","70","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","信息化项目管理工作室","中","否","设备数据采集硬件/网关供应商进场准备","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"72","2.6.8","设备数据采集硬件/网关-供应商正式进场","里程碑","0工作日","2027-08-18","2027-08-18","71","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","信息化项目管理工作室","中","是","设备数据采集硬件/网关供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"73","3.1.1","组织/部门/岗位/人员标准-现状盘点","调研","5工作日","2026-06-08","2026-06-12","12","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","组织人员标准","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"74","3.1.2","组织/部门/岗位/人员标准-标准草案编制","设计","6工作日","2026-06-15","2026-06-22","73","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","组织人员标准","所有资源均按瓶颈处理，关键评审避免重叠 [M]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"75","3.1.3","组织/部门/岗位/人员标准-业务评审","评审","3工作日","2026-06-23","2026-06-25","74","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","组织人员标准","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"76","3.1.4","组织/部门/岗位/人员标准-修订确认","修订","4工作日","2026-06-26","2026-07-01","75","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","组织人员标准","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"77","3.2.1","物料分类与物料编码标准-现状盘点","调研","5工作日","2026-07-02","2026-07-08","76","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","物料分类、编码规则、属性模板","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"78","3.2.2","物料分类与物料编码标准-标准草案编制","设计","6工作日","2026-07-09","2026-07-16","77","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","物料分类、编码规则、属性模板","所有资源均按瓶颈处理，关键评审避免重叠 [M]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"79","3.2.3","物料分类与物料编码标准-业务评审","评审","3工作日","2026-07-17","2026-07-21","78","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","物料分类、编码规则、属性模板","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"80","3.2.4","物料分类与物料编码标准-修订确认","修订","4工作日","2026-07-22","2026-07-27","79","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","物料分类、编码规则、属性模板","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"81","3.3.1","EBOM/PBOM/MBOM数据口径-现状盘点","调研","5工作日","2026-07-28","2026-08-03","80","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","三类BOM口径说明","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"82","3.3.2","EBOM/PBOM/MBOM数据口径-标准草案编制","设计","6工作日","2026-08-04","2026-08-11","81","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","三类BOM口径说明","所有资源均按瓶颈处理，关键评审避免重叠 [M]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"83","3.3.3","EBOM/PBOM/MBOM数据口径-业务评审","评审","3工作日","2026-08-12","2026-08-14","82","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","三类BOM口径说明","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"84","3.3.4","EBOM/PBOM/MBOM数据口径-修订确认","修订","4工作日","2026-08-17","2026-08-20","83","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","三类BOM口径说明","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"85","3.4.1","工艺资源标准-现状盘点","调研","5工作日","2026-08-21","2026-08-27","84","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","设备、工装、工具、工位标准","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"86","3.4.2","工艺资源标准-标准草案编制","设计","6工作日","2026-08-28","2026-09-04","85","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","设备、工装、工具、工位标准","所有资源均按瓶颈处理，关键评审避免重叠 [M]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"87","3.4.3","工艺资源标准-业务评审","评审","3工作日","2026-09-07","2026-09-09","86","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","设备、工装、工具、工位标准","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"88","3.4.4","工艺资源标准-修订确认","修订","4工作日","2026-09-10","2026-09-15","87","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","设备、工装、工具、工位标准","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"89","3.5.1","供应商/客户/项目/架次标准-现状盘点","调研","5工作日","2026-09-16","2026-09-22","88","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","供应商客户项目架次模板","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"90","3.5.2","供应商/客户/项目/架次标准-标准草案编制","设计","6工作日","2026-09-23","2026-09-30","89","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","供应商客户项目架次模板","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"91","3.5.3","供应商/客户/项目/架次标准-业务评审","评审","3工作日","2026-10-01","2026-10-05","90","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","供应商客户项目架次模板","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"92","3.5.4","供应商/客户/项目/架次标准-修订确认","修订","4工作日","2026-10-06","2026-10-09","91","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","供应商客户项目架次模板","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"93","3.6.1","库房/库位/批次/条码规则-现状盘点","调研","5工作日","2026-10-12","2026-10-16","92","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","库房库位批次条码规则","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"94","3.6.2","库房/库位/批次/条码规则-标准草案编制","设计","6工作日","2026-10-19","2026-10-26","93","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","库房库位批次条码规则","所有资源均按瓶颈处理，关键评审避免重叠 [M]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"95","3.6.3","库房/库位/批次/条码规则-业务评审","评审","3工作日","2026-10-27","2026-10-29","94","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","库房库位批次条码规则","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"96","3.6.4","库房/库位/批次/条码规则-修订确认","修订","4工作日","2026-10-30","2026-11-04","95","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","库房库位批次条码规则","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"97","3.7.1","主数据清洗去重补全-现状盘点","调研","5工作日","2026-11-05","2026-11-11","96","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据清洗报告","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"98","3.7.2","主数据清洗去重补全-标准草案编制","设计","6工作日","2026-11-12","2026-11-19","97","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据清洗报告","所有资源均按瓶颈处理，关键评审避免重叠 [M]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"99","3.7.3","主数据清洗去重补全-业务评审","评审","3工作日","2026-11-20","2026-11-24","98","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据清洗报告","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"100","3.7.4","主数据清洗去重补全-修订确认","修订","4工作日","2026-11-25","2026-11-30","99","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据清洗报告","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"101","3.8.1","数据质量问题清单建立-现状盘点","调研","5工作日","2026-12-01","2026-12-07","100","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据质量问题清单","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"102","3.8.2","数据质量问题清单建立-标准草案编制","设计","6工作日","2026-12-08","2026-12-15","101","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据质量问题清单","所有资源均按瓶颈处理，关键评审避免重叠 [M]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"103","3.8.3","数据质量问题清单建立-业务评审","评审","3工作日","2026-12-16","2026-12-18","102","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据质量问题清单","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"104","3.8.4","数据质量问题清单建立-修订确认","修订","4工作日","2026-12-21","2026-12-24","103","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据质量问题清单","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"105","3.9.1","主数据标准V1.0发布培训-现状盘点","调研","5工作日","2026-12-25","2026-12-31","104","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","发布材料与培训记录","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"106","3.9.2","主数据标准V1.0发布培训-标准草案编制","设计","6工作日","2027-01-01","2027-01-08","105","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","发布材料与培训记录","所有资源均按瓶颈处理，关键评审避免重叠 [M]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"107","3.9.3","主数据标准V1.0发布培训-业务评审","评审","3工作日","2027-01-11","2027-01-13","106","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","发布材料与培训记录","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"108","3.9.4","主数据标准V1.0发布培训-修订确认","修订","4工作日","2027-01-14","2027-01-19","107","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","发布材料与培训记录","所有资源均按瓶颈处理，关键评审避免重叠 [E]","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"109","3.10","数据标准V1.0发布","里程碑","0工作日","2027-01-20","2027-01-20","108","MDM工作组","MDM工作组","","","MDM工作组","","项目决策组","高","是","数据标准V1.0","[M]","MDM工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"110","4.1","需求范围冻结","需求","8工作日","2026-07-01","2026-07-10","12","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","MDM需求规格说明书","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"111","4.2","原型设计","设计","8工作日","2026-07-13","2026-07-22","110","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","MDM原型","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"112","4.3","技术架构设计","设计","6工作日","2026-07-23","2026-07-30","111","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","技术架构方案","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"113","4.4","数据库与主数据模型设计","设计","8工作日","2026-07-31","2026-08-11","112","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","主数据模型、元数据模型","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"114","4.5","审批流与权限模型设计","设计","6工作日","2026-08-12","2026-08-19","113","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","审批流、角色权限模型","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"115","4.6","版本管理与分发机制设计","设计","6工作日","2026-08-20","2026-08-27","114","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","版本与分发设计","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"116","4.7","质量校验规则设计","设计","6工作日","2026-08-28","2026-09-04","115","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","质量规则库","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"117","4.8","数据看板指标设计","设计","5工作日","2026-09-07","2026-09-11","116","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","看板指标口径","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"118","4.9","开发环境与代码仓库搭建","开发准备","4工作日","2026-09-14","2026-09-17","117","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","开发环境、Git仓库","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"119","4.10","核心台账模块开发","开发","12工作日","2026-09-18","2026-10-05","118","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","主数据台账","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"120","4.11","审批流模块开发","开发","10工作日","2026-10-06","2026-10-19","119","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","审批流","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"121","4.12","版本管理模块开发","开发","8工作日","2026-10-20","2026-10-29","120","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","版本管理","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"122","4.13","数据分发接口开发","开发","10工作日","2026-10-30","2026-11-12","121","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","分发接口","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"123","4.14","质量校验模块开发","开发","10工作日","2026-11-13","2026-11-26","122","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","质量校验","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"124","4.15","数据质量看板开发","开发","8工作日","2026-11-27","2026-12-08","123","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","质量看板","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"125","4.16","数据纠正通知机制开发","开发","6工作日","2026-12-09","2026-12-16","124","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","纠正通知","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"126","4.17","AI辅助编程规范制定","管理","4工作日","2026-12-17","2026-12-22","125","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","AI编程规范","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"127","4.18","单元测试与缺陷修复","测试","8工作日","2026-12-23","2027-01-01","126","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","测试记录","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"128","4.19","集成测试","测试","8工作日","2027-01-04","2027-01-13","127","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","集成测试报告","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"129","4.20","用户培训与操作手册编制","培训","5工作日","2027-01-14","2027-01-20","128","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","操作手册、培训材料","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"130","4.21","试运行准备","上线","3工作日","2027-01-21","2027-01-25","129","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","试运行方案","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"131","4.22","MDM平台一期上线","里程碑","0工作日","2027-01-26","2027-01-26","130","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","项目决策组","高","是","上线确认单","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"132","4.23","MDM一期上线试运行报告","验收","5工作日","2027-01-27","2027-01-31","131","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","试运行报告","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [E]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
