ID,WBS,任务名称,任务类型,工期,开始时间,完成时间,前置任务,资源名称,责任部门,供应商,审核人/审批组,风险等级,里程碑,交付物,备注,所属视图分类,阶段门编号,是否关键路径控制,版本控制对象,变更等级,联调启动条件,是否H5重点展示,阶段门名称,放行/阻断规则,合同/付款控制口径,H5诊断规则,执行说明
87,2.10.8,ERP服务器扩容完成,里程碑,0工作日,2026-11-17,2026-11-17,86,ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,高,是,ERP服务器扩容完成确认单,ERP已有服务器，本任务体现扩容与环境验证，不重复定义新ERP服务器采购。,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
88,2.11,OA系统采购,摘要,,2026-08-10,2026-12-04,,ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,高,否,,补充OA系统采购包，覆盖需求、方案预算、招标/比选、合同签订、供应商进场。,Contract_Control,,,,,,是,,,,,
89,2.11.1,OA系统采购需求确认与边界梳理,需求,6工作日,2026-08-10,2026-08-17,9,ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,中,否,OA采购需求说明,WBS2补充OA系统采购，后续实施/接口改造仍在WBS7 ERP/OA补强中体现。,Contract_Control,,,,,,,,,,,
90,2.11.2,OA系统技术方案与预算评审,评审,5工作日,2026-08-18,2026-08-24,89,ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,高,否,OA方案与预算评审意见,WBS2补充OA系统采购，后续实施/接口改造仍在WBS7 ERP/OA补强中体现。,,,,,,,是,,,,,
91,2.11.3,OA系统招标/比选文件草案编制（不发布）,招采,8工作日,2026-08-25,2026-09-03,90,ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,中,否,OA招标/比选文件草案,WBS2补充OA系统采购，后续实施/接口改造仍在WBS7 ERP/OA补强中体现。；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,采购准备与正式发布拆分管理，本节点不触发供应商正式投标/比选。
92,2.11.4,OA系统招标/比选文件正式发布与答疑,招采,18工作日,2026-10-01,2026-10-26,"91,279,298",ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,中,否,OA招标/比选文件正式发布与答疑记录,WBS2补充OA系统采购，后续实施/接口改造仍在WBS7 ERP/OA补强中体现。；本节点为正式对外发布节点，必须完成对应系统详细需求包或需求冻结后才能启动。,Contract_Control,,,,,,,,对应系统详细需求包/需求冻结未完成则阻断发布、答疑、评标和商务谈判。,,,正式发布招标/比选文件、组织答疑和后续评标均以需求冻结为前置。
93,2.11.5,OA系统评标/选型与商务谈判,招采,10工作日,2026-10-27,2026-11-09,92,ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,中,否,评标/选型与商务谈判记录,WBS2补充OA系统采购，后续实施/接口改造仍在WBS7 ERP/OA补强中体现。,,,,,,,,,,,,
94,2.11.6,OA系统合同审批与签订,合同,8工作日,2026-11-10,2026-11-19,93,ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,高,否,OA合同,WBS2补充OA系统采购，后续实施/接口改造仍在WBS7 ERP/OA补强中体现。,Contract_Control,,,,,,是,,,,,
95,2.11.7,OA系统供应商进场准备,进场,10工作日,2026-11-20,2026-12-03,94,ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,中,否,进场准备清单,WBS2补充OA系统采购，后续实施/接口改造仍在WBS7 ERP/OA补强中体现。,,,,,,,,,,,,
96,2.11.8,OA系统供应商正式进场,里程碑,0工作日,2026-12-04,2026-12-04,95,ERP·OA工作组,ERP·OA工作组,OA供应商,信息化项目管理工作室,高,是,OA供应商进场确认,WBS2补充OA系统采购，后续实施/接口改造仍在WBS7 ERP/OA补强中体现。,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
97,2.12,设备数据采集硬件/网关,摘要,,2027-05-10,2027-08-18,,MES工作组,MES工作组,设备采集供应商,信息化项目管理工作室,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
98,2.12.1,设备数据采集硬件/网关-方案评审材料准备,方案评审,8工作日,2027-05-10,2027-05-19,,MES工作组,MES工作组,设备采集供应商,信息化项目管理工作室,中,否,设备数据采集硬件/网关方案评审材料准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
99,2.12.2,设备数据采集硬件/网关-技术方案与预算评审,评审,3工作日,2027-05-20,2027-05-24,98,MES工作组,MES工作组,设备采集供应商,项目决策组,中,否,设备数据采集硬件/网关技术方案与预算评审,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
100,2.12.3,设备数据采集硬件/网关-招标/比选文件草案编制（不发布）,招采,8工作日,2027-05-25,2027-06-03,99,MES工作组,MES工作组,设备采集供应商,信息化项目管理工作室,中,否,设备数据采集硬件/网关招标/比选文件草案,重大评审尽量串行；供应商合同后2周进场准备；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,采购准备与正式发布拆分管理，本节点不触发供应商正式投标/比选。
101,2.12.4,设备数据采集硬件/网关-招标/比选文件正式发布与答疑,招采,25工作日,2027-06-04,2027-07-08,"100,377",MES工作组,MES工作组,设备采集供应商,信息化项目管理工作室,中,否,设备数据采集硬件/网关招标/比选文件正式发布与答疑,重大评审尽量串行；供应商合同后2周进场准备；本节点为正式对外发布节点，必须完成对应系统详细需求包或需求冻结后才能启动。,Contract_Control,,,,,,,,对应系统详细需求包/需求冻结未完成则阻断发布、答疑、评标和商务谈判。,,,正式发布招标/比选文件、组织答疑和后续评标均以需求冻结为前置。
102,2.12.5,设备数据采集硬件/网关-评标/选型与商务谈判,招采,10工作日,2027-07-09,2027-07-22,101,MES工作组,MES工作组,设备采集供应商,信息化项目管理工作室,中,否,设备数据采集硬件/网关评标/选型与商务谈判,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
103,2.12.6,设备数据采集硬件/网关-合同审批与签订,合同,8工作日,2027-07-23,2027-08-03,102,MES工作组,MES工作组,设备采集供应商,项目决策组,中,否,设备数据采集硬件/网关合同审批与签订,重大评审尽量串行；供应商合同后2周进场准备,Contract_Control,,,,,,,,,,,
104,2.12.7,设备数据采集硬件/网关-供应商进场准备,进场,10工作日,2027-08-04,2027-08-17,103,MES工作组,MES工作组,设备采集供应商,信息化项目管理工作室,中,否,设备数据采集硬件/网关供应商进场准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
105,2.12.8,设备数据采集硬件/网关-供应商正式进场,里程碑,0工作日,2027-08-18,2027-08-18,104,MES工作组,MES工作组,设备采集供应商,信息化项目管理工作室,中,是,设备数据采集硬件/网关供应商正式进场,重大评审尽量串行；供应商合同后2周进场准备,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
106,3,数据标准与主数据治理,摘要,,2026-06-08,2028-01-31,,信息化项目组,信息化项目组,,,中,否,,MDM先行，支撑PLM/MES/ERP集成,,,,,,,,,,,,
107,3.1,组织/部门/岗位/人员标准,摘要,,2026-06-08,2026-07-01,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
108,3.1.1,组织/部门/岗位/人员标准-现状盘点,调研,5工作日,2026-06-08,2026-06-12,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,组织人员标准,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
109,3.1.2,组织/部门/岗位/人员标准-标准草案编制,设计,6工作日,2026-06-15,2026-06-22,108,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,组织人员标准,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
110,3.1.3,组织/部门/岗位/人员标准-业务评审,评审,3工作日,2026-06-23,2026-06-25,109,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,组织人员标准,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
111,3.1.4,组织/部门/岗位/人员标准-修订确认,修订,4工作日,2026-06-26,2026-07-01,110,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,组织人员标准,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
112,3.2,物料分类与物料编码标准,摘要,,2026-07-02,2026-07-27,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
113,3.2.1,物料分类与物料编码标准-现状盘点,调研,5工作日,2026-07-02,2026-07-08,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,高,否,物料分类、编码规则、属性模板,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,是,,,,,
114,3.2.2,物料分类与物料编码标准-标准草案编制,设计,6工作日,2026-07-09,2026-07-16,113,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,高,否,物料分类、编码规则、属性模板,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,是,,,,,
115,3.2.3,物料分类与物料编码标准-业务评审,评审,3工作日,2026-07-17,2026-07-21,114,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,高,否,物料分类、编码规则、属性模板,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,是,,,,,
116,3.2.4,物料分类与物料编码标准-修订确认,修订,4工作日,2026-07-22,2026-07-27,115,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,高,否,物料分类、编码规则、属性模板,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,是,,,,,
117,3.3,EBOM/PBOM/MBOM数据口径,摘要,,2026-07-28,2026-08-20,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
118,3.3.1,EBOM/PBOM/MBOM数据口径-现状盘点,调研,5工作日,2026-07-28,2026-08-03,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,高,否,三类BOM口径说明,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,是,,,,,
119,3.3.2,EBOM/PBOM/MBOM数据口径-标准草案编制,设计,6工作日,2026-08-04,2026-08-11,118,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,高,否,三类BOM口径说明,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,是,,,,,
120,3.3.3,EBOM/PBOM/MBOM数据口径-业务评审,评审,3工作日,2026-08-12,2026-08-14,119,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,高,否,三类BOM口径说明,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,是,,,,,
121,3.3.4,EBOM/PBOM/MBOM数据口径-修订确认,修订,4工作日,2026-08-17,2026-08-20,120,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,高,否,三类BOM口径说明,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,是,,,,,
122,3.4,工艺资源标准,摘要,,2026-08-21,2026-09-15,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
123,3.4.1,工艺资源标准-现状盘点,调研,5工作日,2026-08-21,2026-08-27,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,设备、工装、工具、工位标准,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
124,3.4.2,工艺资源标准-标准草案编制,设计,6工作日,2026-08-28,2026-09-04,123,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,设备、工装、工具、工位标准,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
125,3.4.3,工艺资源标准-业务评审,评审,3工作日,2026-09-07,2026-09-09,124,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,设备、工装、工具、工位标准,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
126,3.4.4,工艺资源标准-修订确认,修订,4工作日,2026-09-10,2026-09-15,125,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,设备、工装、工具、工位标准,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
127,3.5,供应商/客户/项目/架次标准,摘要,,2026-09-16,2026-10-09,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
128,3.5.1,供应商/客户/项目/架次标准-现状盘点,调研,5工作日,2026-09-16,2026-09-22,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,供应商客户项目架次模板,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
129,3.5.2,供应商/客户/项目/架次标准-标准草案编制,设计,6工作日,2026-09-23,2026-09-30,128,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,供应商客户项目架次模板,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
130,3.5.3,供应商/客户/项目/架次标准-业务评审,评审,3工作日,2026-10-01,2026-10-05,129,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,供应商客户项目架次模板,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
131,3.5.4,供应商/客户/项目/架次标准-修订确认,修订,4工作日,2026-10-06,2026-10-09,130,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,供应商客户项目架次模板,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
132,3.6,库房/库位/批次/条码规则,摘要,,2026-10-12,2026-11-04,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
133,3.6.1,库房/库位/批次/条码规则-现状盘点,调研,5工作日,2026-10-12,2026-10-16,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,库房库位批次条码规则,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
134,3.6.2,库房/库位/批次/条码规则-标准草案编制,设计,6工作日,2026-10-19,2026-10-26,133,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,库房库位批次条码规则,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
135,3.6.3,库房/库位/批次/条码规则-业务评审,评审,3工作日,2026-10-27,2026-10-29,134,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,库房库位批次条码规则,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
136,3.6.4,库房/库位/批次/条码规则-修订确认,修订,4工作日,2026-10-30,2026-11-04,135,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,库房库位批次条码规则,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
137,3.7,主数据清洗去重补全,摘要,,2026-11-05,2026-11-30,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
138,3.7.1,主数据清洗去重补全-现状盘点,调研,5工作日,2026-11-05,2026-11-11,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,数据清洗报告,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
139,3.7.2,主数据清洗去重补全-标准草案编制,设计,6工作日,2026-11-12,2026-11-19,138,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,数据清洗报告,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
140,3.7.3,主数据清洗去重补全-业务评审,评审,3工作日,2026-11-20,2026-11-24,139,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,数据清洗报告,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
141,3.7.4,主数据清洗去重补全-修订确认,修订,4工作日,2026-11-25,2026-11-30,140,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,数据清洗报告,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
142,3.8,数据质量问题清单建立,摘要,,2026-12-01,2026-12-24,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
143,3.8.1,数据质量问题清单建立-现状盘点,调研,5工作日,2026-12-01,2026-12-07,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,数据质量问题清单,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
144,3.8.2,数据质量问题清单建立-标准草案编制,设计,6工作日,2026-12-08,2026-12-15,143,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,数据质量问题清单,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
145,3.8.3,数据质量问题清单建立-业务评审,评审,3工作日,2026-12-16,2026-12-18,144,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,数据质量问题清单,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
146,3.8.4,数据质量问题清单建立-修订确认,修订,4工作日,2026-12-21,2026-12-24,145,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,数据质量问题清单,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
147,3.9,主数据标准V1.0发布培训,摘要,,2026-12-25,2027-01-19,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
148,3.9.1,主数据标准V1.0发布培训-现状盘点,调研,5工作日,2026-12-25,2026-12-31,,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,发布材料与培训记录,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
149,3.9.2,主数据标准V1.0发布培训-标准草案编制,设计,6工作日,2027-01-01,2027-01-08,148,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,发布材料与培训记录,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
150,3.9.3,主数据标准V1.0发布培训-业务评审,评审,3工作日,2027-01-11,2027-01-13,149,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,发布材料与培训记录,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
151,3.9.4,主数据标准V1.0发布培训-修订确认,修订,4工作日,2027-01-14,2027-01-19,150,MDM工作组,MDM工作组,,各部门授权审核员;数据质量工作组,中,否,发布材料与培训记录,所有资源均按瓶颈处理，关键评审避免重叠,,,,,,,,,,,,
438,3.10,主数据版本发布与交底机制,摘要,,2026-08-14,2028-01-31,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
152,3.10.1,数据标准V1.0发布,里程碑,0工作日,2027-01-20,2027-01-20,151,MDM工作组,MDM工作组,,项目决策组,高,是,数据标准V1.0,,Gate,,是,,,主数据版本控制,是,,,,,
153,3.10.2,主数据V0.8设计版冻结,里程碑,0工作日,2026-08-14,2026-08-14,,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,中,是,主数据对象清单、初版编码规则,放行范围：业务蓝图、原型设计；禁止推进：核心接口开发、正式数据迁移,MDM_Version,,是,V0.8,,主数据版本控制,是,,,,,
154,3.10.3,主数据V0.8技术交底会,评审/交底,3工作日,2026-08-17,2026-08-19,153,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,中,否,技术交底纪要,放行范围：各系统蓝图设计,MDM_Version,,,V0.8,,,是,,,,,
155,3.10.4,主数据V0.9字段草案发布,里程碑,0工作日,2026-09-11,2026-09-11,154,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,中,是,字段草案、映射表,放行范围：单体配置、测试样例准备；禁止推进：生产接口开发、正式联调,MDM_Version,,是,V0.9,,主数据版本控制,是,,,,,
156,3.10.5,主数据V0.9变更影响评估,评审,5工作日,2026-09-14,2026-09-18,155,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,中,否,变更影响评估表,放行范围：控制V0.8到V0.9变化,MDM_Version,,,V0.9,,,是,,,,,
157,3.10.6,主数据V1.0开发版冻结,里程碑,0工作日,2026-12-31,2026-12-31,156,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,高,是,主数据标准V1.0,放行范围：核心接口开发、数据清洗、接口规格冻结；禁止推进：全系统联调、主数据分发终验,MDM_Version,G3,是,V1.0,,,是,,,,,
158,3.10.7,主数据V1.0书面技术交底,交底,3工作日,2027-01-04,2027-01-06,157,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,高,否,交底签收单,放行范围：接口开发启动,MDM_Version,G3,,V1.0,,,是,,,,,
159,3.10.8,主数据V1.1联调版冻结,里程碑,0工作日,2027-04-07,2027-04-07,158,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,高,是,主数据标准V1.1,放行范围：全系统联调、全流程业务测试、主数据一致性校验；禁止推进：无审批的标准变更,MDM_Version,G4,是,V1.1,,,是,,,,,
160,3.10.9,主数据版本变更台账维护,管理,全过程,2026-08-20,2028-01-31,,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,中,否,版本变更台账,放行范围：全周期,MDM_Version,,,全版本,,,是,,,,,
161,3.10.10,主数据变更24小时交底机制,管理,全过程,2026-08-20,2028-01-31,,MDM工作组,MDM工作组,,数据质量工作组;项目决策组,高,否,交底记录、签收记录,放行范围：A类重大变更,MDM_Version,,是,全版本,A类,主数据版本控制,是,,,,,
162,4,MDM建设准备与数据治理沉淀,摘要,,2026-07-01,2027-02-03,,信息化项目组,信息化项目组,,,中,否,,本期不承诺MDM平台开发上线；聚焦主数据规则、映射、质量校验、过渡期规则中心与数据治理沉淀,MDM_Version,,,,,,是,,,,,
439,4.1,范围与对象边界,摘要,,2026-07-01,2026-07-22,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
163,4.1.1,流程地图与数据地图范围确认,调研,8工作日,2026-07-01,2026-07-10,,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,流程地图范围清单,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
164,4.1.2,主数据对象与责任边界梳理,调研,8工作日,2026-07-13,2026-07-22,163,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,主数据对象清单、责任边界清单,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
440,4.2,模型与映射关系,摘要,,2026-07-23,2026-08-11,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
165,4.2.1,元数据模型与字段口径梳理,设计,6工作日,2026-07-23,2026-07-30,164,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,元数据模型、字段口径表,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
166,4.2.2,主数据模型与映射关系整理,设计,8工作日,2026-07-31,2026-08-11,165,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,主数据模型、映射关系表,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
441,4.3,治理角色与版本分发,摘要,,2026-08-12,2026-08-27,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
167,4.3.1,治理角色与权限边界设计,设计,6工作日,2026-08-12,2026-08-19,166,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,治理角色、权限边界说明,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
168,4.3.2,版本管理与分发口径设计,设计,6工作日,2026-08-20,2026-08-27,167,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,版本与分发口径,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
442,4.4,数据质量规则与指标,摘要,,2026-08-28,2026-09-11,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
169,4.4.1,数据质量规则库整理,设计,6工作日,2026-08-28,2026-09-04,168,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,数据质量规则库,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
170,4.4.2,数据质量指标口径整理,设计,5工作日,2026-09-07,2026-09-11,169,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,数据质量指标口径,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
443,4.5,治理资料库与台账样例,摘要,,2026-09-14,2026-10-29,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
171,4.5.1,治理资料库与版本台账建立,管理,4工作日,2026-09-14,2026-09-17,170,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,治理资料库、版本台账,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
172,4.5.2,主数据规则台账样例整理,设计,12工作日,2026-09-18,2026-10-05,171,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,主数据规则台账样例,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
173,4.5.3,主数据变更审核口径整理,设计,10工作日,2026-10-06,2026-10-19,172,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,变更审核口径,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
174,4.5.4,版本管理样例整理,设计,8工作日,2026-10-20,2026-10-29,173,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,版本管理样例,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
444,4.6,分发接口与质量校验口径,摘要,,2026-10-30,2026-12-16,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
175,4.6.1,分发规则与接口校验口径整理,设计,10工作日,2026-10-30,2026-11-12,174,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,分发规则与接口校验口径,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
176,4.6.2,质量规则与接口校验口径整理,设计,10工作日,2026-11-13,2026-11-26,175,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,质量规则与接口校验口径,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
